GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AiSD2025ZEx4,pl.edu.pw.ee.aisd2025zex4.exception,NotYetImplementedException,4,0,0,0,2,0,1,0,1,0
AiSD2025ZEx4,pl.edu.pw.ee.aisd2025zex4,Color,0,15,0,0,0,2,0,1,0,1
AiSD2025ZEx4,pl.edu.pw.ee.aisd2025zex4,Node,4,44,0,0,2,17,1,10,1,10
AiSD2025ZEx4,pl.edu.pw.ee.aisd2025zex4,RbtMap,0,35,1,5,0,10,1,5,0,3
AiSD2025ZEx4,pl.edu.pw.ee.aisd2025zex4,RedBlackTree,22,379,11,49,6,96,11,45,0,26
