       0 | 14470
    1000 | 26424677
    2000 | 46737898
    3000 | 17678352
    4000 | 15355535
    5000 | 18292174
    6000 | 31796694
    7000 | 35850286
    8000 | 60466498
    9000 | 71368541
   10000 | 81286329
   11000 | 98387681
   12000 | 111901580
   13000 | 269996196
   14000 | 485900624
   15000 | 503563696
   16000 | 634940523
   17000 | 469235454
   18000 | 635835235
   19000 | 687010316
   20000 | 469641445
   21000 | 725422139
   22000 | 1201038642
   23000 | 1221145681
   24000 | 1168969186
   25000 | 898360688
   26000 | 704437317
   27000 | 684690028
   28000 | 685798532
   29000 | 571684085
   30000 | 668118079
   31000 | 857532847
   32000 | 2453724190
   33000 | 1458491596
   34000 | 1100149021
   35000 | 1980492663
   36000 | 2204937633
   37000 | 2902105695
   38000 | 1652034073
   39000 | 1423731621
   40000 | 1315190821
   41000 | 1356305071
   42000 | 2037575165
   43000 | 2027779606
   44000 | 1328148637
   45000 | 842943180
   46000 | 863278939
   47000 | 898648473
   48000 | 937220566
   49000 | 966810983
   50000 | 1081100299
   51000 | 1159703230
   52000 | 1182379016
   53000 | 1278476748
   54000 | 1241148358
   55000 | 1231178819
   56000 | 1300527122
   57000 | 1301541624
   58000 | 1379587254
   59000 | 1449341298
   60000 | 1514850430
   61000 | 1517046576
   62000 | 1630029177
   63000 | 1607153700
   64000 | 1615798484
   65000 | 1755416963
   66000 | 1765289191
   67000 | 1873105767
   68000 | 1923096294
   69000 | 2077605676
   70000 | 1954815505
   71000 | 1994804622
   72000 | 2132264824
   73000 | 2313234274
   74000 | 2193045210
   75000 | 2410683947
   76000 | 2349830797
   77000 | 2347243179
   78000 | 2425036626
   79000 | 2547821244
   80000 | 2529130568
   81000 | 2666351169
   82000 | 2664573612
   83000 | 2895039265
       0 | 11340
    1000 | 6023404
    2000 | 7628018
    3000 | 11513648
    4000 | 6168655
    5000 | 9618933
    6000 | 15810458
    7000 | 21000691
    8000 | 25491232
    9000 | 35647997
   10000 | 38188193
   11000 | 46037342
   12000 | 59804856
   13000 | 65418679
   14000 | 74629411
   15000 | 86311490
   16000 | 98780530
   17000 | 128513932
   18000 | 125526755
   19000 | 140948433
   20000 | 155431458
   21000 | 173230061
   22000 | 193919092
   23000 | 212508557
   24000 | 237945669
   25000 | 240717206
