       0 | 10590
    1000 | 159800
    2000 | 214650
    3000 | 227730
    4000 | 309721
    5000 | 363521
    6000 | 375031
    7000 | 467322
    8000 | 531762
    9000 | 582422
   10000 | 686632
   11000 | 4183972
   12000 | 768293
   13000 | 814222
   14000 | 292940
   15000 | 258110
   16000 | 292911
   17000 | 261481
   18000 | 314931
   19000 | 299951
   20000 | 283041
   21000 | 296021
   22000 | 310591
   23000 | 320780
   24000 | 355141
   25000 | 349201
   26000 | 358391
   27000 | 372991
   28000 | 7688253
   29000 | 342861
   30000 | 4283932
   31000 | 6051208
   32000 | 9377697
   33000 | 2577168
   34000 | 5638767
   35000 | 2447797
   36000 | 9523248
   37000 | 173731
   38000 | 165871
   39000 | 155920
   40000 | 159211
   41000 | 154941
   42000 | 170400
   43000 | 174571
   44000 | 173010
   45000 | 188071
   46000 | 182900
   47000 | 212731
   48000 | 4050402
   49000 | 198010
   50000 | 209381
   51000 | 225020
   52000 | 265551
   53000 | 223151
   54000 | 283860
   55000 | 219511
   56000 | 3893371
   57000 | 238321
   58000 | 238761
   59000 | 245451
   60000 | 233250
   61000 | 247791
   62000 | 307411
   63000 | 273991
   64000 | 266331
   65000 | 264801
   66000 | 306901
   67000 | 271441
   68000 | 280451
   69000 | 226210
   70000 | 208131
   71000 | 225201
   72000 | 324941
   73000 | 280481
   74000 | 260001
   75000 | 297171
   76000 | 288661
   77000 | 314331
   78000 | 330940
   79000 | 290181
   80000 | 331311
   81000 | 297501
   82000 | 2371847
   83000 | 327131
   84000 | 339981
   85000 | 1412574
   86000 | 319561
   87000 | 331711
   88000 | 3077789
   89000 | 1053323
   90000 | 331421
   91000 | 340271
   92000 | 893682
   93000 | 349921
   94000 | 380151
   95000 | 588522
   96000 | 365971
   97000 | 1343154
   98000 | 384471
   99000 | 372011
  100000 | 397001
  101000 | 357042
  102000 | 2019716
  103000 | 463752
  104000 | 2802978
  105000 | 2559798
  106000 | 438532
  107000 | 1561725
  108000 | 382712
  109000 | 417021
  110000 | 444631
  111000 | 407421
  112000 | 405001
  113000 | 2045076
  114000 | 467292
  115000 | 419621
  116000 | 408691
  117000 | 412672
  118000 | 478162
  119000 | 462622
  120000 | 453222
  121000 | 440111
  122000 | 9502358
  123000 | 440502
  124000 | 444101
  125000 | 462111
  126000 | 916853
  127000 | 452701
  128000 | 3489830
  129000 | 482052
  130000 | 537261
  131000 | 482571
  132000 | 503552
  133000 | 9534478
  134000 | 482412
  135000 | 6724320
  136000 | 3529501
  137000 | 492292
  138000 | 481271
  139000 | 595632
  140000 | 522592
  141000 | 593132
  142000 | 4291043
  143000 | 515951
  144000 | 589532
  145000 | 8160044
  146000 | 4042411
  147000 | 551421
  148000 | 6864250
  149000 | 543042
  150000 | 588322
  151000 | 15601406
  152000 | 581271
  153000 | 6583089
  154000 | 611402
  155000 | 9175647
  156000 | 612411
  157000 | 608972
  158000 | 1083453
  159000 | 600812
